Date,Open,High,Low,Close,Adj Close,Volume
2004-06-02,1519.729980,1528.469971,1519.729980,1526.939941,1526.547363,0
2004-06-03,1528.180054,1535.140015,1528.180054,1532.630005,1532.235962,0
2004-06-04,1532.630005,1532.630005,1522.300049,1524.449951,1524.058105,0
2004-06-07,1521.250000,1526.660034,1514.579956,1517.170044,1516.780029,0
2004-06-08,1518.780029,1545.630005,1518.780029,1545.630005,1545.232666,0
2004-06-09,1545.329956,1551.130005,1543.400024,1543.400024,1543.003296,0
2004-06-10,1547.849976,1547.849976,1532.699951,1533.729980,1533.335693,0
2004-06-11,1531.859985,1534.189941,1518.000000,1518.000000,1517.609741,0
2004-06-14,1520.479980,1539.209961,1520.239990,1536.829956,1536.434937,0
2004-06-15,1539.010010,1547.250000,1536.989990,1547.250000,1546.852295,0
2004-06-16,1550.089966,1551.359985,1540.859985,1543.469971,1543.073242,0
2004-06-17,1542.250000,1548.339966,1536.780029,1539.930054,1539.534180,0
2004-06-18,1539.930054,1543.829956,1529.459961,1532.750000,1532.355957,0
2004-06-21,1531.260010,1544.560059,1531.260010,1540.520020,1540.124023,0
2004-06-22,1540.449951,1546.010010,1539.199951,1542.819946,1542.423340,0
2004-06-23,1550.709961,1575.939941,1550.709961,1573.469971,1573.065430,0
2004-06-24,1576.040039,1584.660034,1573.459961,1573.770020,1573.365479,0
2004-06-25,1572.760010,1580.930054,1572.760010,1579.510010,1579.104004,0
2004-06-28,1579.510010,1580.349976,1566.530029,1580.349976,1579.943726,0
2004-06-29,1590.819946,1595.040039,1580.000000,1586.349976,1585.942139,0
2004-06-30,1586.050049,1587.619995,1569.849976,1579.400024,1578.994019,0
2004-07-01,1578.130005,1593.599976,1575.469971,1593.599976,1593.190308,0
2004-07-02,1600.790039,1600.790039,1589.880005,1590.640015,1590.231079,0
2004-07-05,1593.040039,1594.969971,1587.130005,1589.930054,1589.521362,0
2004-07-06,1590.670044,1593.150024,1584.479980,1590.949951,1590.541016,0
2004-07-07,1591.359985,1600.670044,1590.489990,1598.390015,1597.979126,0
2004-07-08,1598.459961,1599.869995,1590.849976,1595.469971,1595.059814,0
2004-07-09,1595.869995,1595.869995,1587.930054,1592.459961,1592.050537,0
2004-07-12,1593.890015,1593.890015,1584.199951,1586.250000,1585.842163,0
2004-07-13,1586.250000,1587.140015,1573.030029,1573.030029,1572.625610,0
2004-07-14,1573.030029,1573.380005,1561.040039,1565.339966,1564.937500,0
2004-07-15,1563.790039,1565.489990,1547.449951,1549.979980,1549.581543,0
2004-07-16,1550.920044,1551.349976,1544.189941,1551.229980,1550.831177,0
2004-07-19,1551.390015,1552.579956,1541.900024,1544.260010,1543.863037,0
2004-07-20,1544.260010,1544.260010,1532.170044,1533.000000,1532.605957,0
2004-07-21,1532.569946,1540.780029,1529.660034,1539.319946,1538.924194,0
2004-07-22,1540.670044,1552.790039,1540.640015,1552.790039,1552.390869,0
2004-07-23,1557.010010,1564.949951,1555.500000,1559.219971,1558.819092,0
2004-07-26,1558.540039,1558.890015,1543.260010,1543.260010,1542.863281,0
2004-07-27,1543.260010,1560.900024,1543.260010,1560.900024,1560.498779,0
2004-07-28,1567.410034,1583.619995,1567.410034,1583.410034,1583.002930,0
2004-07-29,1591.390015,1605.599976,1591.390015,1599.060059,1598.648926,0
2004-07-30,1594.780029,1595.750000,1568.260010,1584.699951,1584.292603,0
2004-08-02,1583.650024,1591.599976,1560.910034,1564.469971,1564.067749,0
2004-08-03,1571.300049,1573.890015,1558.750000,1562.030029,1561.628418,0
2004-08-04,1562.030029,1575.880005,1562.030029,1572.910034,1572.505737,0
2004-08-05,1573.310059,1578.099976,1570.910034,1577.800049,1577.394409,0
2004-08-06,1577.800049,1578.250000,1568.369995,1576.849976,1576.444580,0
2004-08-09,1575.420044,1578.209961,1566.050049,1578.209961,1577.804199,101000
2004-08-10,1578.209961,1580.670044,1575.300049,1579.260010,1578.854004,0
2004-08-11,1585.099976,1600.569946,1585.099976,1592.400024,1591.990601,0
2004-08-12,1592.400024,1599.170044,1589.660034,1594.479980,1594.070068,0
2004-08-13,1594.479980,1595.020020,1584.750000,1590.630005,1590.221069,0
2004-08-16,1599.150024,1600.209961,1591.770020,1594.829956,1594.419922,0
2004-08-17,1594.819946,1594.819946,1566.829956,1566.829956,1566.427124,0
2004-08-18,1566.829956,1569.540039,1553.229980,1556.369995,1555.969849,0
2004-08-19,1558.010010,1574.380005,1557.969971,1573.270020,1572.865601,0
2004-08-20,1574.640015,1582.839966,1572.439941,1582.839966,1582.433105,0
2004-08-23,1585.420044,1585.650024,1571.199951,1576.180054,1575.774902,0
2004-08-24,1575.910034,1575.910034,1539.619995,1542.010010,1541.613647,0
2004-08-25,1542.010010,1548.079956,1538.839966,1548.079956,1547.682007,0
2004-08-26,1547.349976,1565.800049,1547.349976,1561.329956,1560.928589,0
2004-08-27,1561.930054,1582.040039,1561.930054,1582.040039,1581.633301,0
2004-08-30,1584.180054,1585.239990,1577.989990,1580.410034,1580.003784,0
2004-08-31,1581.040039,1582.979980,1573.760010,1579.829956,1579.423828,0
2004-09-01,1580.099976,1592.739990,1576.439941,1592.739990,1592.330566,0
2004-09-02,1592.739990,1614.550049,1592.739990,1614.000000,1613.585083,0
2004-09-03,1620.290039,1628.369995,1619.979980,1627.959961,1627.541504,0
2004-09-06,1626.800049,1634.560059,1622.569946,1633.540039,1633.120117,0
2004-09-07,1639.109985,1671.760010,1639.109985,1671.760010,1671.330200,176600
2004-09-08,1673.250000,1731.530029,1673.250000,1728.449951,1728.005615,0
2004-09-09,1728.709961,1747.560059,1723.969971,1739.920044,1739.472778,0
2004-09-10,1737.609985,1753.339966,1728.959961,1751.599976,1751.149658,0
2004-09-13,1753.410034,1771.699951,1753.410034,1758.619995,1758.167847,0
2004-09-14,1758.619995,1758.619995,1710.439941,1717.449951,1717.008423,0
2004-09-15,1717.589966,1717.589966,1698.430054,1706.079956,1705.641357,0
2004-09-16,1706.079956,1712.920044,1685.680054,1691.859985,1691.425049,0
2004-09-17,1692.130005,1693.880005,1679.130005,1681.349976,1680.917725,0
2004-09-20,1688.709961,1705.380005,1688.709961,1702.209961,1701.772339,0
2004-09-21,1703.660034,1720.680054,1700.420044,1720.680054,1720.237671,0
2004-09-22,1722.959961,1740.939941,1722.959961,1727.880005,1727.435791,0
2004-09-23,1725.660034,1742.560059,1725.530029,1742.560059,1742.112061,0
2004-09-24,1742.530029,1766.420044,1741.189941,1763.300049,1762.846802,0
2004-09-27,1763.819946,1774.709961,1759.869995,1760.329956,1759.877441,0
2004-09-28,1757.239990,1761.209961,1741.550049,1746.079956,1745.631104,0
2004-09-29,1747.719971,1751.540039,1737.030029,1742.089966,1741.642090,0
2004-09-30,1746.189941,1761.569946,1745.579956,1761.569946,1761.117065,0
2004-10-01,1757.780029,1787.250000,1754.400024,1787.250000,1786.790527,0
2004-10-04,1798.069946,1853.290039,1798.069946,1851.599976,1851.124023,0
2004-10-05,1859.979980,1865.640015,1829.839966,1833.349976,1832.878662,0
2004-10-06,1838.050049,1843.589966,1834.699951,1841.670044,1841.196655,0
2004-10-07,1832.000000,1843.890015,1826.910034,1842.680054,1842.206299,0
2004-10-08,1842.680054,1844.699951,1833.739990,1836.469971,1835.997803,0
2004-10-11,1835.760010,1835.859985,1816.670044,1821.969971,1821.501587,0
2004-10-12,1817.900024,1817.900024,1782.420044,1784.910034,1784.451172,0
2004-10-13,1785.910034,1790.729980,1782.209961,1790.729980,1790.269653,0
2004-10-14,1799.510010,1806.060059,1793.170044,1797.300049,1796.838013,0
2004-10-15,1795.329956,1795.329956,1779.260010,1781.410034,1780.952026,0
2004-10-18,1785.229980,1794.430054,1785.229980,1789.979980,1789.519775,0
2004-10-19,1790.739990,1791.650024,1777.319946,1778.849976,1778.392700,0
2004-10-20,1780.920044,1787.930054,1778.150024,1784.930054,1784.471191,0
2004-10-21,1784.770020,1787.099976,1760.619995,1766.599976,1766.145874,0
2004-10-22,1767.579956,1770.170044,1760.369995,1762.140015,1761.687012,0
2004-10-25,1760.300049,1760.300049,1725.500000,1735.689941,1735.243774,0
2004-10-26,1737.040039,1768.780029,1735.869995,1768.780029,1768.325317,0
2004-10-27,1767.979980,1786.609985,1767.979980,1774.339966,1773.883789,0
2004-10-28,1777.780029,1811.050049,1775.349976,1807.489990,1807.025391,0
2004-10-29,1803.640015,1819.030029,1799.359985,1819.030029,1818.562378,0
2004-11-01,1819.030029,1819.030029,1819.030029,1819.030029,1818.562378,0
2004-11-02,1818.869995,1822.369995,1799.550049,1809.540039,1809.074829,0
2004-11-03,1814.930054,1827.829956,1810.619995,1827.319946,1826.850220,0
2004-11-04,1828.010010,1836.459961,1812.290039,1820.209961,1819.742065,0
2004-11-05,1820.609985,1829.040039,1812.469971,1817.520020,1817.052734,0
2004-11-08,1817.609985,1818.650024,1802.069946,1812.160034,1811.694214,0
2004-11-09,1805.140015,1806.439941,1786.040039,1789.030029,1788.570068,0
2004-11-10,1789.400024,1789.400024,1770.930054,1779.180054,1778.722656,0
2004-11-11,1775.390015,1775.390015,1763.229980,1765.089966,1764.636230,0
2004-11-12,1756.060059,1756.060059,1734.099976,1742.810059,1742.362061,0
2004-11-15,1742.810059,1742.810059,1742.810059,1742.810059,1742.362061,0
2004-11-16,1743.599976,1787.890015,1743.599976,1787.890015,1787.430420,0
2004-11-17,1789.270020,1795.900024,1785.729980,1794.359985,1793.898682,0
2004-11-18,1795.560059,1822.719971,1795.560059,1817.640015,1817.172729,0
2004-11-19,1817.829956,1822.989990,1794.339966,1795.589966,1795.128418,0
2004-11-22,1795.589966,1798.349976,1785.739990,1788.199951,1787.740234,0
2004-11-23,1787.439941,1813.390015,1787.439941,1811.229980,1810.764404,0
