Date,Open,High,Low,Close,Adj Close,Volume
2011-03-14,3899.739990,3954.800049,3816.770020,3839.879883,3838.892822,1777000
2011-03-21,3846.449951,3875.810059,3827.750000,3875.810059,3874.813721,1152200
2011-03-28,3877.399902,4129.540039,3877.399902,4129.540039,4128.478516,1855800
2011-04-04,4130.680176,4242.959961,4130.680176,4241.009766,4239.919434,2642800
2011-04-11,4240.959961,4261.759766,4160.419922,4251.640137,4250.547363,1887700
2011-04-18,4253.839844,4283.209961,4237.220215,4274.770020,4273.670898,1971100
2011-04-25,4275.520020,4344.100098,4275.520020,4319.509766,4318.399414,2803300
2011-05-02,4319.569824,4332.919922,4173.609863,4219.069824,4217.985352,3296500
2011-05-09,4219.270020,4337.580078,4219.270020,4292.109863,4291.006348,3365100
2011-05-16,4291.919922,4326.270020,4259.990234,4285.160156,4284.058594,3476200
2011-05-23,4282.450195,4287.729980,4179.850098,4274.509766,4273.411133,2386800
2011-05-30,4283.660156,4332.600098,4238.549805,4297.620117,4296.515137,3106700
2011-06-06,4299.790039,4299.790039,4219.580078,4219.580078,4218.495117,2349200
2011-06-13,4219.919922,4219.919922,4123.700195,4153.109863,4152.041992,2889000
2011-06-20,4153.109863,4291.439941,4153.109863,4291.439941,4290.336914,1623400
2011-06-27,4292.310059,4351.629883,4245.600098,4351.629883,4350.511230,2117200
2011-07-04,4352.200195,4464.229980,4352.200195,4391.459961,4390.331055,2205900
2011-07-11,4392.169922,4458.740234,4333.370117,4458.740234,4457.594238,3267200
2011-07-18,4454.029785,4515.770020,4451.689941,4478.359863,4477.208496,2886500
2011-07-25,4478.390137,4503.629883,4451.649902,4503.629883,4502.472168,2360100
2011-08-01,4503.040039,4563.649902,4342.060059,4437.549805,4436.409180,3273300
2011-08-08,4425.620117,4425.620117,4129.299805,4321.729980,4320.619141,3947300
2011-08-15,4322.430176,4403.540039,4322.430176,4339.899902,4338.784180,3475200
2011-08-22,4327.029785,4381.850098,4291.109863,4305.560059,4304.453125,4460600
2011-08-29,4305.560059,4397.979980,4305.560059,4392.910156,4391.780762,2142000
2011-09-05,4382.279785,4382.560059,4303.080078,4346.069824,4344.952637,3437200
2011-09-12,4346.069824,4348.399902,4257.060059,4290.169922,4289.066895,2306600
2011-09-19,4306.700195,4316.419922,3879.020020,3885.959961,3884.960938,2372800
2011-09-26,3894.770020,4003.479980,3715.010010,3999.649902,3998.621582,2433400
2011-10-03,3989.040039,4009.260010,3798.060059,4009.260010,4008.229248,2092400
2011-10-10,4007.250000,4169.890137,3993.750000,4153.399902,4152.332031,1683300
2011-10-17,4153.399902,4218.609863,4153.259766,4166.600098,4165.528809,1521000
2011-10-24,4175.750000,4345.750000,4175.750000,4333.720215,4332.605957,1222800
2011-10-31,4333.720215,4333.720215,4207.439941,4271.720215,4270.622070,736400
2011-11-07,4271.720215,4346.200195,4269.669922,4312.959961,4311.851074,626000
2011-11-14,4312.959961,4394.899902,4302.430176,4302.430176,4301.324219,2263200
2011-11-21,4301.250000,4301.250000,4212.430176,4261.589844,4260.494141,2921900
2011-11-28,4261.589844,4299.500000,4211.040039,4290.919922,4289.816895,2194300
2011-12-05,4293.790039,4320.080078,4266.240234,4292.500000,4291.396484,670400
2011-12-12,4302.430176,4318.189941,4267.330078,4304.939941,4303.833008,1011700
2011-12-19,4304.939941,4388.850098,4301.129883,4372.240234,4371.116211,1219200
2011-12-26,4375.500000,4387.060059,4335.069824,4371.959961,4370.835938,292900
2012-01-02,4371.959961,4527.209961,4370.830078,4483.359863,4482.207520,321900
2012-01-09,4483.430176,4663.350098,4476.790039,4613.830078,4612.644043,763800
2012-01-16,4606.970215,4747.899902,4578.919922,4747.899902,4746.679199,446700
2012-01-23,4747.899902,4756.779785,4587.770020,4679.890137,4678.687012,435200
2012-01-30,4680.629883,4822.080078,4612.120117,4758.569824,4757.346680,894700
2012-02-06,4782.930176,4855.000000,4745.140137,4783.520020,4782.290527,679700
2012-02-13,4796.169922,4886.990234,4752.319824,4880.709961,4879.455078,416200
2012-02-20,4894.359863,4997.040039,4864.330078,4893.000000,4891.742188,709600
2012-02-27,4893.500000,5016.299805,4790.830078,5016.299805,5015.010254,688700
2012-03-05,5016.129883,5039.290039,4899.200195,4980.709961,4979.429688,546100
2012-03-12,4983.220215,5145.890137,4964.839844,5145.890137,5144.567383,774400
2012-03-19,5146.169922,5146.169922,5026.720215,5042.439941,5041.143555,948200
2012-03-26,5042.439941,5120.470215,5029.629883,5107.729980,5106.416992,635600
2012-04-02,5107.729980,5115.609863,5028.339844,5038.919922,5037.624512,176500
